,Artist,User,LIKE_ARTIST,Edgy,Thoughtful,Youthful,Current,Stylish,Beautiful,Fun,Authentic,Credible,Cool,Catchy,Passionate,Timeless,Original,Talented,Distinctive,Approachable,Trendsetter,Upbeat,Energetic,None of these,Sexy,Dated,Warm
0,46,21462,25.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
1,10,5268,50.0,0,0,0.0,1,0,0,0,0,0,0,1.0,0,1,1,0,0,0,0,0.0,0,0,0,0.0,0
2,41,20761,5.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0.0,0,0,0,1.0,0
3,40,22615,57.0,0,0,0.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0
4,41,19540,50.0,0,0,0.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
5,46,21463,30.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0
6,40,22614,69.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
7,46,21465,22.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0
8,39,14394,50.0,1,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
9,10,5260,48.0,0,0,0.0,0,0,0,0,0,1,0,1.0,0,0,1,1,1,0,0,0.0,0,0,0,0.0,0
10,39,14397,34.0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,1,0,1,0,0,0.0,0,0,0,0.0,1
11,26,11407,29.0,1,0,1.0,1,1,1,1,0,1,1,1.0,0,1,1,1,1,0,0,1.0,1,0,0,0.0,1
12,46,21486,28.0,0,0,0.0,0,0,0,0,0,0,0,1.0,0,1,1,0,1,0,0,0.0,0,0,0,0.0,0
13,39,14418,51.0,0,1,0.0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,1,0,0.0,0,0,0,0.0,0
14,46,21494,30.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0
15,40,22750,97.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
16,26,11406,31.0,0,0,1.0,1,0,0,0,0,0,0,1.0,0,0,1,1,1,0,0,0.0,0,0,0,0.0,0
17,46,21481,28.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0.0,0,0,0,0.0,0
18,26,11405,29.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
19,46,21489,32.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0
20,36,14037,65.0,0,0,0.0,0,0,1,0,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
21,46,21475,43.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,1.0,0
22,40,22741,92.0,0,0,1.0,1,1,0,1,0,0,1,0.0,0,0,0,1,0,0,1,1.0,1,0,1,0.0,0
23,39,14409,46.0,0,0,0.0,0,0,0,0,1,1,0,0.0,0,1,0,1,0,1,0,0.0,0,0,0,0.0,1
24,39,14417,20.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0
25,4,1110,50.0,0,0,0.0,0,1,0,1,1,0,1,1.0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,1
26,46,21466,29.0,0,1,0.0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,1,0,0.0,0,0,0,1.0,1
